dataset,TPR: Individual-Model,TPR: GroupModel,FP/TP: Individual-Model,FP/TP: GroupModel
1,0.969,0.594,0.613,0.368
2,0.923,0.923,0.417,0.375
3,0.667,0.333,1.2,2.8
4,0.763,0.763,1.759,0.897
5,0.6,0.75,2.25,1.4
6,0.923,0.885,2.083,1.739
7,0.636,0.773,4.786,3.882
8,0.909,0.864,0.9,0.789
average,0.799,0.736,1.751,1.531
