dataset,Days,Meal_Hours,Meal_Counts,win(sec),TPR: Individual-Model,TPR: GroupModel,FP/TP: Individual-Model,FP/TP: GroupModel,TP: Individual-Model,TP: GroupModel,FP: Individual-Model,FP: GroupModel,FN: Individual-Model,FN: GroupModel
wenkanw,17,7,32,360,0.969,0.594,0.484,0.368,31.0,19.0,15.0,7.0,1.0,13.0
adam,14,3,26,360,0.923,0.923,0.292,0.375,24.0,24.0,7.0,9.0,2.0,2.0
lawler,23,7,60,360,0.65,0.333,1.077,2.8,39.0,20.0,42.0,56.0,21.0,40.0
shaurya,13,9,38,360,0.737,0.763,1.214,0.897,28.0,29.0,34.0,26.0,10.0,9.0
tianyi,14,5,20,360,0.6,0.75,1.417,1.4,12.0,15.0,17.0,21.0,8.0,5.0
james,12,6,26,360,0.923,0.885,1.458,1.739,24.0,23.0,35.0,40.0,2.0,3.0
cameron,10,5,22,360,0.773,0.773,1.588,3.882,17.0,17.0,27.0,66.0,5.0,5.0
zeyu,12,10,22,360,0.909,0.864,0.65,0.789,20.0,19.0,13.0,15.0,2.0,3.0
average,-,-,-,-,0.81,0.736,1.022,1.531,24.375,20.75,23.75,30.0,6.375,10.0
