dataset,Ts,Te,TP,FN,FP,TPR,FP/TP,ratio
1,0.85,0.45,31,1,15,0.969,0.484,0.6595744680851063
2,0.5,0.1,25,1,16,0.962,0.64,0.5952380952380952
2,0.5,0.15,25,1,15,0.962,0.6,0.6097560975609756
2,0.5,0.2,25,1,14,0.962,0.56,0.625
2,0.5,0.25,25,1,14,0.962,0.56,0.625
2,0.5,0.3,25,1,14,0.962,0.56,0.625
2,0.5,0.35,25,1,14,0.962,0.56,0.625
2,0.5,0.4,25,1,14,0.962,0.56,0.625
2,0.5,0.45,25,1,14,0.962,0.56,0.625
2,0.55,0.1,25,1,14,0.962,0.56,0.625
2,0.55,0.15,25,1,13,0.962,0.52,0.6410256410256411
2,0.55,0.2,25,1,14,0.962,0.56,0.625
2,0.55,0.25,25,1,14,0.962,0.56,0.625
2,0.55,0.3,25,1,14,0.962,0.56,0.625
2,0.55,0.35,25,1,14,0.962,0.56,0.625
2,0.55,0.4,25,1,14,0.962,0.56,0.625
2,0.55,0.45,25,1,14,0.962,0.56,0.625
2,0.6,0.1,25,1,14,0.962,0.56,0.625
2,0.6,0.15,25,1,13,0.962,0.52,0.6410256410256411
2,0.6,0.2,25,1,13,0.962,0.52,0.6410256410256411
2,0.6,0.25,25,1,14,0.962,0.56,0.625
2,0.6,0.3,25,1,14,0.962,0.56,0.625
2,0.6,0.35,25,1,14,0.962,0.56,0.625
2,0.6,0.4,25,1,14,0.962,0.56,0.625
2,0.6,0.45,25,1,14,0.962,0.56,0.625
2,0.65,0.1,24,2,12,0.923,0.5,0.631578947368421
2,0.65,0.15,24,2,12,0.923,0.5,0.631578947368421
2,0.65,0.2,24,2,12,0.923,0.5,0.631578947368421
2,0.65,0.25,24,2,13,0.923,0.542,0.6153846153846154
2,0.65,0.3,24,2,13,0.923,0.542,0.6153846153846154
2,0.65,0.35,24,2,13,0.923,0.542,0.6153846153846154
2,0.65,0.4,24,2,13,0.923,0.542,0.6153846153846154
2,0.65,0.45,24,2,13,0.923,0.542,0.6153846153846154
2,0.7,0.1,24,2,12,0.923,0.5,0.631578947368421
2,0.7,0.15,24,2,12,0.923,0.5,0.631578947368421
2,0.7,0.2,24,2,12,0.923,0.5,0.631578947368421
2,0.7,0.25,24,2,13,0.923,0.542,0.6153846153846154
2,0.7,0.3,24,2,13,0.923,0.542,0.6153846153846154
2,0.7,0.35,24,2,13,0.923,0.542,0.6153846153846154
2,0.7,0.4,24,2,13,0.923,0.542,0.6153846153846154
2,0.7,0.45,24,2,12,0.923,0.5,0.631578947368421
2,0.75,0.1,24,2,9,0.923,0.375,0.6857142857142857
2,0.75,0.15,24,2,9,0.923,0.375,0.6857142857142857
2,0.75,0.2,24,2,9,0.923,0.375,0.6857142857142857
2,0.75,0.25,24,2,10,0.923,0.417,0.6666666666666666
2,0.75,0.3,24,2,10,0.923,0.417,0.6666666666666666
2,0.75,0.35,24,2,10,0.923,0.417,0.6666666666666666
2,0.75,0.4,24,2,10,0.923,0.417,0.6666666666666666
2,0.75,0.45,24,2,10,0.923,0.417,0.6666666666666666
2,0.8,0.1,24,2,9,0.923,0.375,0.6857142857142857
2,0.8,0.15,24,2,9,0.923,0.375,0.6857142857142857
2,0.8,0.2,24,2,9,0.923,0.375,0.6857142857142857
2,0.8,0.25,24,2,10,0.923,0.417,0.6666666666666666
2,0.8,0.3,24,2,10,0.923,0.417,0.6666666666666666
2,0.8,0.35,24,2,10,0.923,0.417,0.6666666666666666
2,0.8,0.4,24,2,10,0.923,0.417,0.6666666666666666
2,0.8,0.45,24,2,10,0.923,0.417,0.6666666666666666
2,0.85,0.1,24,2,7,0.923,0.292,0.7272727272727273
2,0.85,0.15,24,2,7,0.923,0.292,0.7272727272727273
2,0.85,0.2,24,2,7,0.923,0.292,0.7272727272727273
2,0.85,0.25,24,2,8,0.923,0.333,0.7058823529411765
2,0.85,0.3,24,2,8,0.923,0.333,0.7058823529411765
2,0.85,0.35,24,2,8,0.923,0.333,0.7058823529411765
2,0.85,0.4,24,2,8,0.923,0.333,0.7058823529411765
2,0.85,0.45,24,2,8,0.923,0.333,0.7058823529411765
3,0.5,0.1,47,13,82,0.7829999999999999,1.745,0.3309859154929577
3,0.5,0.15,48,12,86,0.8,1.7919999999999998,0.3287671232876712
3,0.5,0.2,48,12,90,0.8,1.875,0.32
3,0.5,0.25,49,11,90,0.8170000000000001,1.837,0.32666666666666666
3,0.5,0.3,49,11,89,0.8170000000000001,1.816,0.3288590604026846
3,0.5,0.35,49,11,89,0.8170000000000001,1.816,0.3288590604026846
3,0.5,0.4,49,11,85,0.8170000000000001,1.735,0.33793103448275863
3,0.5,0.45,49,11,86,0.8170000000000001,1.755,0.3356164383561644
3,0.55,0.1,47,13,83,0.7829999999999999,1.766,0.32867132867132864
3,0.55,0.15,48,12,88,0.8,1.833,0.32432432432432434
3,0.55,0.2,48,12,91,0.8,1.896,0.3178807947019868
3,0.55,0.25,49,11,89,0.8170000000000001,1.816,0.3288590604026846
3,0.55,0.3,49,11,91,0.8170000000000001,1.857,0.3245033112582781
3,0.55,0.35,49,11,91,0.8170000000000001,1.857,0.3245033112582781
3,0.55,0.4,49,11,90,0.8170000000000001,1.837,0.32666666666666666
3,0.55,0.45,49,11,88,0.8170000000000001,1.796,0.3310810810810811
3,0.6,0.1,46,14,73,0.767,1.587,0.3458646616541353
3,0.6,0.15,47,13,77,0.7829999999999999,1.638,0.34306569343065696
3,0.6,0.2,47,13,80,0.7829999999999999,1.702,0.3357142857142857
3,0.6,0.25,48,12,84,0.8,1.75,0.3333333333333333
3,0.6,0.3,48,12,85,0.8,1.771,0.3310344827586207
3,0.6,0.35,48,12,87,0.8,1.812,0.32653061224489793
3,0.6,0.4,48,12,88,0.8,1.833,0.32432432432432434
3,0.6,0.45,47,13,87,0.7829999999999999,1.851,0.3197278911564626
3,0.65,0.1,43,17,72,0.7170000000000001,1.6740000000000002,0.3257575757575757
3,0.65,0.15,44,16,75,0.733,1.705,0.32592592592592595
3,0.65,0.2,44,16,76,0.733,1.727,0.3235294117647059
3,0.65,0.25,45,15,78,0.75,1.733,0.32608695652173914
3,0.65,0.3,45,15,78,0.75,1.733,0.32608695652173914
3,0.65,0.35,45,15,79,0.75,1.756,0.3237410071942446
3,0.65,0.4,45,15,78,0.75,1.733,0.32608695652173914
3,0.65,0.45,44,16,77,0.733,1.75,0.32116788321167883
3,0.7,0.1,42,18,65,0.7,1.548,0.336
3,0.7,0.15,42,18,69,0.7,1.643,0.32558139534883723
3,0.7,0.2,42,18,72,0.7,1.714,0.3181818181818182
3,0.7,0.25,43,17,73,0.7170000000000001,1.6980000000000002,0.3233082706766917
3,0.7,0.3,43,17,75,0.7170000000000001,1.744,0.3185185185185185
3,0.7,0.35,43,17,74,0.7170000000000001,1.721,0.3208955223880597
3,0.7,0.4,43,17,76,0.7170000000000001,1.767,0.3161764705882353
3,0.7,0.45,42,18,78,0.7,1.857,0.3043478260869565
3,0.75,0.1,40,20,60,0.667,1.5,0.3333333333333333
3,0.75,0.15,40,20,64,0.667,1.6,0.3225806451612903
3,0.75,0.2,40,20,66,0.667,1.65,0.31746031746031744
3,0.75,0.25,41,19,67,0.6829999999999999,1.634,0.3228346456692913
3,0.75,0.3,41,19,69,0.6829999999999999,1.683,0.3178294573643411
3,0.75,0.35,41,19,69,0.6829999999999999,1.683,0.3178294573643411
3,0.75,0.4,41,19,69,0.6829999999999999,1.683,0.3178294573643411
3,0.75,0.45,40,20,67,0.667,1.675,0.31496062992125984
3,0.8,0.1,39,21,42,0.65,1.077,0.38235294117647056
3,0.8,0.15,39,21,46,0.65,1.179,0.3679245283018868
3,0.8,0.2,39,21,47,0.65,1.205,0.3644859813084112
3,0.8,0.25,40,20,47,0.667,1.175,0.37383177570093457
3,0.8,0.3,40,20,48,0.667,1.2,0.3703703703703704
3,0.8,0.35,40,20,48,0.667,1.2,0.3703703703703704
3,0.8,0.4,40,20,48,0.667,1.2,0.3703703703703704
