dataset,Days,Meal_Hours,Meal_Counts,win(sec),TPR: Individual-Model,TPR: GroupModel,FP/TP: Individual-Model,FP/TP: GroupModel,TP: Individual-Model,TP: GroupModel,FP: Individual-Model,FP: GroupModel,FN: Individual-Model,FN: GroupModel
wenkanw,17,7,32,360,0.9690000000000001,0.625,0.613,0.3,31.0,20.0,19.0,6.0,1.0,12.0
adam,14,3,26,360,0.9229999999999999,0.9229999999999999,0.41700000000000004,0.33299999999999996,24.0,24.0,10.0,8.0,2.0,2.0
lawler,23,7,60,360,0.667,0.33299999999999996,1.2,2.6,40.0,20.0,48.0,52.0,20.0,40.0
shaurya,13,9,38,360,0.763,0.789,1.7590000000000001,0.833,29.0,30.0,51.0,25.0,9.0,8.0
tianyi,14,5,20,360,0.6,0.75,2.167,1.267,12.0,15.0,26.0,19.0,8.0,5.0
james,12,6,26,360,0.923,0.885,2.083,1.696,24.0,23.0,50.0,39.0,2.0,3.0
average performance,-,-,-,-,0.808,0.717,1.373,1.172,26.667,22.0,34.0,24.833,7.0,11.667
