method,metrics,improvement(%)
Group Thresholds,TPR,8.559782608695652
Group Thresholds,FP/TP,-14.369693011103854
TPR Method,TPR,18.47826086956522
TPR Method,FP/TP,11.952971913781843
FP/TP Method,TPR,9.646739130434783
FP/TP Method,FP/TP,24.363161332462443
Balance Method,TPR,10.054347826086957
Balance Method,FP/TP,33.24624428478119
