dataset,TPR: Individual-Model,TPR: GroupModel,FP/TP: Individual-Model,FP/TP: GroupModel
1,0.969,0.594,0.484,0.368
2,0.923,0.923,0.292,0.375
3,0.817,0.333,1.735,2.8
4,0.816,0.763,1.774,0.897
5,0.8,0.75,2.562,1.4
6,0.923,0.885,1.458,1.739
7,0.818,0.773,1.833,3.882
8,0.909,0.864,0.65,0.789
average,0.872,0.736,1.348,1.531
