,loss,accuracy,val_loss,val_accuracy,lr
0,1.8469668626785278,0.6784896850585938,1.311071753501892,0.8455377817153931,0.0010000000474974513
1,0.9464370608329773,0.8438215255737305,0.6821565628051758,0.8844393491744995,0.0010000000474974513
2,0.6186454892158508,0.8825801014900208,0.5541934370994568,0.9021739363670349,0.0010000000474974513
3,0.49253666400909424,0.8988844156265259,0.44584956765174866,0.9021739363670349,0.0010000000474974513
4,0.4225769639015198,0.9067505598068237,0.4259500503540039,0.9038901329040527,0.0010000000474974513
5,0.40941479802131653,0.9028890132904053,0.3803151249885559,0.9130434989929199,0.0010000000474974513
6,0.3676369786262512,0.9131864905357361,0.371683269739151,0.9061784744262695,0.0010000000474974513
7,0.3531918525695801,0.9124714136123657,0.3912568986415863,0.8867276906967163,0.0010000000474974513
8,0.3393489718437195,0.9147597551345825,0.343101441860199,0.9073226451873779,0.0010000000474974513
9,0.3332124650478363,0.9134725332260132,0.3286058008670807,0.9113272428512573,0.0010000000474974513
10,0.31666576862335205,0.9200515151023865,0.31566739082336426,0.9130434989929199,0.0010000000474974513
11,0.3066128194332123,0.9210526347160339,0.29679179191589355,0.9296338558197021,0.0010000000474974513
12,0.3096775710582733,0.9147597551345825,0.29256346821784973,0.9244851469993591,0.0010000000474974513
13,0.2938079833984375,0.9230549335479736,0.27489790320396423,0.9364988803863525,0.0010000000474974513
14,0.27724164724349976,0.9286327362060547,0.27382710576057434,0.929061770439148,0.0010000000474974513
15,0.2679256498813629,0.9347826242446899,0.28577175736427307,0.9193363785743713,0.0010000000474974513
16,0.2788265645503998,0.9282036423683167,0.2644363045692444,0.9359267950057983,0.0010000000474974513
17,0.2576603889465332,0.9360697865486145,0.2524036467075348,0.939931333065033,0.0010000000474974513
18,0.2544853985309601,0.9352116584777832,0.2535356879234314,0.9353547096252441,0.0010000000474974513
19,0.2670096457004547,0.9282036423683167,0.24189360439777374,0.945652186870575,0.0010000000474974513
