,loss,accuracy,val_loss,val_accuracy,lr
0,2.1196134090423584,0.6100418567657471,1.7959434986114502,0.7090300917625427,0.0010000000474974513
1,1.5864579677581787,0.7199442386627197,1.3658537864685059,0.7424749135971069,0.0010000000474974513
2,1.227774739265442,0.7297071218490601,1.068480134010315,0.7725752592086792,0.0010000000474974513
3,0.9556309580802917,0.7824267745018005,0.8545310497283936,0.8127090334892273,0.0010000000474974513
4,0.7897288799285889,0.8064156174659729,0.755133330821991,0.8049052357673645,0.0010000000474974513
5,0.7093786597251892,0.8119944334030151,0.7658659219741821,0.8037903904914856,0.0010000000474974513
6,0.6882086992263794,0.8092049956321716,0.6442121863365173,0.8127090334892273,0.0010000000474974513
7,0.6598418354988098,0.8117154836654663,0.6198306083679199,0.8205128312110901,0.0010000000474974513
8,0.5986520051956177,0.8323570489883423,0.5983119010925293,0.8171683549880981,0.0010000000474974513
9,0.5628448128700256,0.8357043266296387,0.5678138136863708,0.8249721527099609,0.0010000000474974513
10,0.558559238910675,0.8354253768920898,0.5446591377258301,0.832775890827179,0.0010000000474974513
11,0.5377281904220581,0.8329149484634399,0.5257352590560913,0.827201783657074,0.0010000000474974513
12,0.5239827036857605,0.8340306878089905,0.516531229019165,0.8260869383811951,0.0010000000474974513
13,0.5074144005775452,0.8373779654502869,0.5315654277801514,0.8205128312110901,0.0010000000474974513
14,0.4978872835636139,0.8449093699455261,0.4900699257850647,0.8383500576019287,0.0010000000474974513
15,0.4827348291873932,0.8463040590286255,0.48014938831329346,0.8316611051559448,0.0010000000474974513
16,0.46628373861312866,0.8476987481117249,0.46461769938468933,0.8405796885490417,0.0010000000474974513
17,0.466010719537735,0.8376569151878357,0.4658886194229126,0.8394649028778076,0.0010000000474974513
18,0.4549572765827179,0.8443514704704285,0.5560018420219421,0.7781493663787842,0.0010000000474974513
19,0.5673813223838806,0.8044630289077759,0.5126348733901978,0.832775890827179,0.0010000000474974513
