dataset,Ts,Te,TPR,FP/TP,TP,FP,FN
wenkanw,0.85,0.1,0.9690000000000001,0.484,31.0,15.0,1.0
adam,0.85,0.1,0.9229999999999999,0.292,24.0,7.0,2.0
lawler,0.8,0.1,0.65,1.077,39.0,42.0,21.0
shaurya,0.85,0.1,0.737,1.214,28.0,34.0,10.0
tianyi,0.85,0.1,0.6,1.4169999999999998,12.0,17.0,8.0
james,0.85,0.1,0.9229999999999999,1.4580000000000002,24.0,35.0,2.0
cameron,0.85,0.1,0.773,1.588,17.0,27.0,5.0
zeyu,0.85,0.25,0.909,0.65,20.0,13.0,2.0
mohammad,0.8,0.1,0.625,4.6,5.0,23.0,3.0
