dataset,Ts,Te,TPR,FP/TP,TP,FP,FN
wenkanw,0.5,0.1,0.969,1.226,31.0,38.0,1.0
adam,0.5,0.1,0.962,0.64,25.0,16.0,1.0
lawler,0.5,0.25,0.8170000000000001,1.837,49.0,90.0,11.0
shaurya,0.5,0.25,0.921,1.943,35.0,68.0,3.0
tianyi,0.75,0.1,0.65,2.0,13.0,26.0,7.0
james,0.7,0.1,1.0,1.808,26.0,47.0,0.0
cameron,0.5,0.1,0.818,2.0,18.0,36.0,4.0
zeyu,0.5,0.1,0.909,1.8,20.0,36.0,2.0
mohammad,0.5,0.1,0.625,6.6,5.0,33.0,3.0
