dataset,Ts,Te,TP,FN,FP,TPR,FP/TP,ratio
adam,0.65,0.15,24,2,12,0.923,0.5,0.631578947368421
adam,0.65,0.2,24,2,12,0.923,0.5,0.631578947368421
adam,0.65,0.25,24,2,13,0.923,0.542,0.6153846153846154
adam,0.65,0.3,24,2,13,0.923,0.542,0.6153846153846154
adam,0.65,0.35,24,2,13,0.923,0.542,0.6153846153846154
adam,0.65,0.4,24,2,13,0.923,0.542,0.6153846153846154
adam,0.65,0.45,24,2,13,0.923,0.542,0.6153846153846154
adam,0.7,0.1,24,2,12,0.923,0.5,0.631578947368421
adam,0.7,0.15,24,2,12,0.923,0.5,0.631578947368421
adam,0.7,0.2,24,2,12,0.923,0.5,0.631578947368421
adam,0.7,0.25,24,2,13,0.923,0.542,0.6153846153846154
adam,0.7,0.3,24,2,13,0.923,0.542,0.6153846153846154
adam,0.7,0.35,24,2,13,0.923,0.542,0.6153846153846154
adam,0.7,0.4,24,2,13,0.923,0.542,0.6153846153846154
adam,0.7,0.45,24,2,12,0.923,0.5,0.631578947368421
adam,0.75,0.1,24,2,9,0.923,0.375,0.6857142857142857
adam,0.75,0.15,24,2,9,0.923,0.375,0.6857142857142857
adam,0.75,0.2,24,2,9,0.923,0.375,0.6857142857142857
adam,0.75,0.25,24,2,10,0.923,0.417,0.6666666666666666
adam,0.75,0.3,24,2,10,0.923,0.417,0.6666666666666666
adam,0.75,0.35,24,2,10,0.923,0.417,0.6666666666666666
adam,0.75,0.4,24,2,10,0.923,0.417,0.6666666666666666
adam,0.75,0.45,24,2,10,0.923,0.417,0.6666666666666666
adam,0.8,0.1,24,2,9,0.923,0.375,0.6857142857142857
adam,0.8,0.15,24,2,9,0.923,0.375,0.6857142857142857
adam,0.8,0.2,24,2,9,0.923,0.375,0.6857142857142857
adam,0.8,0.25,24,2,10,0.923,0.417,0.6666666666666666
adam,0.8,0.3,24,2,10,0.923,0.417,0.6666666666666666
adam,0.8,0.35,24,2,10,0.923,0.417,0.6666666666666666
adam,0.8,0.4,24,2,10,0.923,0.417,0.6666666666666666
adam,0.8,0.45,24,2,10,0.923,0.417,0.6666666666666666
adam,0.85,0.1,24,2,7,0.923,0.292,0.7272727272727273
adam,0.85,0.15,24,2,7,0.923,0.292,0.7272727272727273
adam,0.85,0.2,24,2,7,0.923,0.292,0.7272727272727273
adam,0.85,0.25,24,2,8,0.923,0.333,0.7058823529411765
adam,0.85,0.3,24,2,8,0.923,0.333,0.7058823529411765
adam,0.85,0.35,24,2,8,0.923,0.333,0.7058823529411765
adam,0.85,0.4,24,2,8,0.923,0.333,0.7058823529411765
adam,0.85,0.45,24,2,8,0.923,0.333,0.7058823529411765
lawler,0.5,0.1,47,13,82,0.7829999999999999,1.745,0.33098591549295775
lawler,0.5,0.15,48,12,86,0.8,1.7919999999999998,0.3287671232876712
lawler,0.5,0.2,48,12,90,0.8,1.875,0.32
lawler,0.5,0.25,49,11,90,0.8170000000000001,1.837,0.32666666666666666
lawler,0.5,0.3,49,11,89,0.8170000000000001,1.816,0.3288590604026846
lawler,0.5,0.35,49,11,89,0.8170000000000001,1.816,0.3288590604026846
lawler,0.5,0.4,49,11,85,0.8170000000000001,1.735,0.33793103448275863
lawler,0.5,0.45,49,11,86,0.8170000000000001,1.755,0.3356164383561644
lawler,0.55,0.1,47,13,83,0.7829999999999999,1.766,0.32867132867132864
lawler,0.55,0.15,48,12,88,0.8,1.833,0.32432432432432434
lawler,0.55,0.2,48,12,91,0.8,1.896,0.31788079470198677
lawler,0.55,0.25,49,11,89,0.8170000000000001,1.816,0.3288590604026846
lawler,0.55,0.3,49,11,91,0.8170000000000001,1.857,0.32450331125827814
lawler,0.55,0.35,49,11,91,0.8170000000000001,1.857,0.32450331125827814
lawler,0.55,0.4,49,11,90,0.8170000000000001,1.837,0.32666666666666666
lawler,0.55,0.45,49,11,88,0.8170000000000001,1.796,0.3310810810810811
lawler,0.6,0.1,46,14,73,0.767,1.587,0.3458646616541353
lawler,0.6,0.15,47,13,77,0.7829999999999999,1.638,0.34306569343065696
lawler,0.6,0.2,47,13,80,0.7829999999999999,1.702,0.3357142857142857
lawler,0.6,0.25,48,12,84,0.8,1.75,0.3333333333333333
lawler,0.6,0.3,48,12,85,0.8,1.771,0.3310344827586207
lawler,0.6,0.35,48,12,87,0.8,1.812,0.32653061224489793
lawler,0.6,0.4,48,12,88,0.8,1.833,0.32432432432432434
lawler,0.6,0.45,47,13,87,0.7829999999999999,1.851,0.3197278911564626
lawler,0.65,0.1,43,17,72,0.7170000000000001,1.6740000000000002,0.32575757575757575
lawler,0.65,0.15,44,16,75,0.733,1.705,0.32592592592592595
lawler,0.65,0.2,44,16,76,0.733,1.727,0.3235294117647059
lawler,0.65,0.25,45,15,78,0.75,1.733,0.32608695652173914
lawler,0.65,0.3,45,15,78,0.75,1.733,0.32608695652173914
lawler,0.65,0.35,45,15,79,0.75,1.756,0.3237410071942446
lawler,0.65,0.4,45,15,78,0.75,1.733,0.32608695652173914
lawler,0.65,0.45,44,16,77,0.733,1.75,0.32116788321167883
lawler,0.7,0.1,42,18,65,0.7,1.548,0.336
lawler,0.7,0.15,42,18,69,0.7,1.643,0.32558139534883723
lawler,0.7,0.2,42,18,72,0.7,1.714,0.3181818181818182
lawler,0.7,0.25,43,17,73,0.7170000000000001,1.6980000000000002,0.3233082706766917
