day,proba,labels
6,0.7003796,0
6,0.65207475,0
6,0.64651716,0
6,0.6572242,0
6,0.6598678,0
6,0.65576583,0
6,0.6581364,0
6,0.6584815,0
6,0.66520774,0
6,0.678179,0
6,0.677277,0
6,0.6952376,0
6,0.7259617,0
6,0.7295188,0
6,0.73986894,0
6,0.7598535,0
6,0.75488615,0
6,0.7437044,0
6,0.7499698,0
6,0.74999523,0
6,0.76449835,0
6,0.7708752,0
6,0.78674036,0
6,0.7946597,0
6,0.80264795,0
6,0.8026253,0
6,0.7788058,0
6,0.7832501,0
6,0.80069315,0
6,0.83534634,0
6,0.84214234,0
6,0.8596282,0
6,0.86540556,0
6,0.87017345,0
6,0.8691435,0
6,0.8784294,0
6,0.87306166,0
6,0.87149894,0
6,0.86688715,0
6,0.8825102,0
6,0.8819621,0
6,0.87003434,0
6,0.8682946,0
6,0.8701649,0
6,0.87104714,0
6,0.8665806,0
6,0.8770995,0
6,0.9000561,0
6,0.90572655,0
6,0.9178294,0
6,0.9293543,0
6,0.9368215,0
6,0.9406185,0
6,0.94002485,0
6,0.92722875,0
6,0.93302137,0
6,0.93356705,0
6,0.9355663,0
6,0.9387704,0
6,0.94617355,0
6,0.9478363,0
6,0.9494722,0
6,0.94736254,0
6,0.951837,0
6,0.949997,0
6,0.95119035,0
6,0.9514629,0
6,0.9528904,0
6,0.95325196,0
6,0.9550935,0
6,0.95681703,0
6,0.9568353,0
6,0.96025264,0
6,0.96043235,0
6,0.9600133,0
6,0.96171176,0
6,0.96189225,0
6,0.96346647,0
6,0.96411157,0
6,0.9662005,0
6,0.96573997,0
6,0.96458745,0
6,0.9661994,0
6,0.9666127,0
6,0.96654165,0
6,0.9681424,0
6,0.9680029,0
6,0.9703157,0
6,0.97106016,0
6,0.97118384,0
6,0.97134376,0
6,0.97102547,0
6,0.97258145,0
6,0.9730568,0
6,0.9721403,0
6,0.9718422,0
6,0.97261506,0
6,0.97301733,0
6,0.9736153,0
6,0.9723464,0
6,0.97483015,0
6,0.9764869,0
6,0.97678274,0
6,0.9765238,0
6,0.9767699,0
6,0.9762018,0
6,0.9766899,0
6,0.97542566,0
6,0.9757125,0
6,0.97629154,0
6,0.9750309,0
6,0.9758482,0
6,0.97629917,0
6,0.9776006,0
6,0.9785857,0
6,0.9782784,0
6,0.97878665,0
6,0.978395,0
6,0.97677,0
6,0.9770083,0
6,0.9757949,0
6,0.97404474,0
6,0.9735944,0
6,0.97279406,0
6,0.9728203,0
6,0.97263753,0
6,0.9719094,0
6,0.9720624,0
6,0.9715881,0
6,0.96923506,0
6,0.9669761,0
6,0.9648942,0
6,0.96497643,0
6,0.9649725,0
6,0.96146286,0
6,0.9623941,0
6,0.96231675,0
6,0.9619847,0
6,0.9608678,0
6,0.9598673,0
6,0.9582927,0
6,0.9569912,0
6,0.9560015,0
6,0.95183384,0
6,0.9512855,0
6,0.950235,0
6,0.9467352,0
6,0.94608223,0
6,0.9419838,0
6,0.9433221,0
6,0.9362786,0
6,0.9372759,0
6,0.93526983,0
6,0.9277501,0
6,0.91916,0
6,0.91740704,0
6,0.9064597,0
6,0.8989106,0
6,0.87952673,0
6,0.8937588,0
6,0.88991535,0
6,0.89732355,0
6,0.8787945,0
6,0.8518545,0
6,0.8392905,0
6,0.8295858,0
6,0.81446004,0
6,0.78576165,0
6,0.76697356,0
6,0.76133376,0
6,0.7257118,0
6,0.6271894,0
6,0.57307297,0
6,0.55170846,0
6,0.5347475,0
6,0.5302244,0
6,0.5268449,0
6,0.5062029,0
6,0.50466174,0
6,0.47842875,0
6,0.4657939,0
6,0.44674543,0
6,0.41651767,0
6,0.39902645,0
6,0.3584558,0
6,0.33341542,0
6,0.32832068,0
6,0.32210302,0
6,0.2923742,0
6,0.27260065,0
6,0.26370788,0
6,0.26564234,0
6,0.26750922,0
6,0.2335729,0
6,0.21639538,0
6,0.21866521,0
6,0.20652086,0
6,0.20540339,0
6,0.18835881,0
6,0.18882424,0
6,0.1875422,0
6,0.18579969,0
6,0.17597726,0
6,0.16577601,0
6,0.16523811,0
6,0.16494173,0
6,0.15193626,0
6,0.14708948,0
6,0.15123767,0
6,0.15283811,0
6,0.15766299,0
6,0.19749326,0
6,0.20665726,0
6,0.20513767,0
6,0.20618406,0
6,0.20408809,0
6,0.20471817,0
6,0.20287919,0
6,0.21176884,0
6,0.21747532,0
6,0.20240727,0
6,0.21266267,0
6,0.20611563,0
6,0.20576078,0
6,0.20450282,0
6,0.20128256,0
6,0.20452681,0
6,0.2069551,0
6,0.20377028,0
6,0.19787782,0
6,0.16372702,0
6,0.15678391,0
6,0.1410782,0
6,0.13409492,0
6,0.13471508,0
6,0.13394657,0
6,0.13234654,0
6,0.12758285,0
6,0.12983114,0
6,0.13016215,0
6,0.12964171,0
6,0.12746698,0
6,0.12938672,0
6,0.13045776,0
6,0.1288431,0
6,0.12726933,0
6,0.12755987,0
6,0.12780452,0
6,0.12725085,0
6,0.1246593,0
6,0.12652281,0
6,0.12759072,0
6,0.12659013,0
6,0.12453857,0
6,0.12698159,0
6,0.12729955,0
6,0.12674195,0
6,0.124649644,0
6,0.12651968,0
6,0.12759072,0
6,0.12659007,0
