day,proba,labels
8,0.1050061,0
8,0.10547629,0
8,0.10124853,0
8,0.10064542,0
8,0.10179824,0
8,0.10106811,0
8,0.10174093,0
8,0.10079324,0
8,0.10125923,0
8,0.10171744,0
8,0.10142836,0
8,0.100645214,0
8,0.10179809,0
8,0.10106805,0
8,0.10174084,0
8,0.10079321,0
8,0.10125917,0
8,0.10171732,0
8,0.10142827,0
8,0.11333513,0
8,0.1257743,0
8,0.12528625,0
8,0.12628582,0
8,0.12583035,0
8,0.12732837,0
8,0.12796783,0
8,0.12815917,0
8,0.12749305,0
8,0.12126377,0
8,0.116499215,0
8,0.11754349,0
8,0.115612686,0
8,0.115642816,0
8,0.11574009,0
8,0.11684623,0
8,0.108180195,0
8,0.10787788,0
8,0.10785264,0
8,0.10877478,0
8,0.10813439,0
8,0.11350039,0
8,0.11363086,0
8,0.11402947,0
8,0.113532394,0
8,0.113625586,0
8,0.11353412,0
8,0.11018708,0
8,0.10935229,0
8,0.10956541,0
8,0.10986972,0
8,0.10543007,0
8,0.10279402,0
8,0.102885485,0
8,0.10335615,0
8,0.10328412,0
8,0.10016137,0
8,0.09976584,0
8,0.100054264,0
8,0.100122064,0
8,0.09984389,0
8,0.09943727,0
8,0.08852509,0
8,0.088232756,0
8,0.0991475,0
8,0.099274755,0
8,0.10283801,0
8,0.103734344,0
8,0.10385999,0
8,0.10484329,0
8,0.1057294,0
8,0.105932474,0
8,0.10594162,0
8,0.105685145,0
8,0.10660195,0
8,0.10648304,0
8,0.10661015,0
8,0.10610336,0
8,0.10614306,0
8,0.10654175,0
8,0.106536955,0
8,0.10614821,0
8,0.10604966,0
8,0.10864365,0
8,0.11056882,0
8,0.11208591,0
8,0.11211422,0
8,0.112651855,0
8,0.11475885,0
8,0.114356816,0
8,0.114453435,0
8,0.092717946,0
8,0.092330456,0
8,0.09237969,0
8,0.08656436,0
8,0.087016106,0
8,0.08555582,0
8,0.08958289,0
8,0.08968723,0
8,0.08944166,0
8,0.08949545,0
8,0.08948287,0
8,0.08934125,0
8,0.089577466,0
8,0.089428365,0
8,0.08909783,0
8,0.09433019,0
8,0.09431186,0
