day,proba,labels
8,0.23188573,0
8,0.2349031,0
8,0.23354355,0
8,0.23677102,0
8,0.23198262,0
8,0.2205083,0
8,0.2187011,0
8,0.21988082,0
8,0.21795112,0
8,0.23214358,0
8,0.22932991,0
8,0.23244053,0
8,0.22614703,0
8,0.22509411,0
8,0.21707931,0
8,0.22545055,0
8,0.2145679,0
8,0.21184444,0
8,0.20444778,0
8,0.20747316,0
8,0.19144714,0
8,0.19277883,0
8,0.18886757,0
8,0.18878788,0
8,0.18234059,0
8,0.1788933,0
8,0.17408395,0
8,0.17621773,0
8,0.16995752,0
8,0.17225575,0
8,0.16617692,0
8,0.18348709,0
8,0.17816642,0
8,0.17396691,0
8,0.17180336,0
8,0.18441057,0
8,0.17888036,0
8,0.17941734,0
8,0.17666048,0
8,0.1860747,0
8,0.1843186,0
8,0.18617484,0
8,0.18250787,0
8,0.18848944,0
8,0.18404526,0
8,0.17447421,0
8,0.1733385,0
8,0.17420942,0
8,0.1729618,0
8,0.18773541,0
8,0.17757556,0
8,0.18592331,0
8,0.1878807,0
8,0.19215265,0
8,0.16397798,0
8,0.15082288,0
8,0.15213144,0
8,0.16160372,0
8,0.1747171,0
8,0.20036277,0
8,0.19619253,0
8,0.21295646,0
8,0.21517289,0
8,0.2183621,0
8,0.22903246,0
8,0.2276913,0
8,0.22534037,0
8,0.23796335,0
8,0.23998341,0
8,0.22822553,0
8,0.22188923,0
8,0.21733275,0
8,0.2173438,0
8,0.21807137,0
8,0.21993527,0
8,0.24584171,0
8,0.24675724,0
8,0.26831794,0
8,0.27225664,0
8,0.27168888,0
8,0.25924802,0
8,0.2644717,0
8,0.26444966,0
8,0.26938802,0
8,0.27639028,0
8,0.27705383,0
8,0.28479835,0
8,0.2840399,0
8,0.31999314,0
8,0.32828373,0
8,0.3264516,0
8,0.32942632,0
8,0.3304745,0
8,0.33150703,0
8,0.33814305,0
8,0.34969223,0
8,0.36992604,1
8,0.37122047,1
8,0.36672223,1
8,0.37324655,1
8,0.36725822,1
8,0.36916068,1
8,0.35023546,1
8,0.35103106,1
8,0.35536712,1
8,0.35595188,1
8,0.3317327,1
8,0.33999145,1
8,0.34109765,1
8,0.35585406,1
8,0.36197037,1
8,0.40179682,1
8,0.40888506,1
8,0.4250488,1
8,0.44275263,1
8,0.4587895,1
8,0.46939087,1
8,0.46746463,1
8,0.46990165,1
8,0.4919605,1
8,0.47486848,1
8,0.47283974,1
8,0.477863,1
8,0.45769787,1
8,0.4960433,1
8,0.5085273,1
8,0.5091575,1
8,0.5243255,1
8,0.5184392,1
8,0.5069884,1
8,0.49970976,1
8,0.4780409,1
8,0.5612313,1
8,0.5655219,1
8,0.55362016,1
8,0.60813767,1
8,0.68225384,1
8,0.69669247,1
8,0.6980407,1
8,0.69946665,1
8,0.7240204,1
8,0.7550558,1
8,0.7630783,1
8,0.77189386,1
8,0.7907553,1
8,0.7877507,1
8,0.7738928,1
8,0.7693344,1
8,0.7665858,1
8,0.7704339,1
8,0.77175677,1
8,0.7697474,1
8,0.7745693,1
8,0.77667904,1
8,0.78133845,1
8,0.77361673,1
8,0.7703774,1
8,0.77538145,1
8,0.7898919,1
8,0.76996565,1
8,0.77259064,1
8,0.7738241,1
8,0.7854481,1
8,0.7786939,1
8,0.777568,1
8,0.7740241,1
8,0.7695197,1
8,0.77928853,1
8,0.80442977,1
8,0.8292918,1
8,0.883262,1
8,0.88131666,1
8,0.88444924,1
8,0.9035809,1
8,0.9072614,1
8,0.91313326,1
8,0.91727996,1
8,0.91734374,1
8,0.9168731,1
8,0.9155303,1
8,0.9178966,1
8,0.90643704,1
8,0.901644,1
8,0.89819634,1
8,0.8948782,1
8,0.90776527,1
8,0.90823305,1
8,0.90449685,1
8,0.90592283,1
8,0.90298265,1
8,0.9005118,1
8,0.8990505,1
8,0.8999251,1
8,0.8981466,1
8,0.8977026,1
8,0.88018477,1
8,0.8782543,1
8,0.87470067,1
8,0.86210555,1
8,0.85514045,1
8,0.8641057,1
8,0.87363935,1
8,0.8744831,1
8,0.8303431,1
8,0.83362997,1
8,0.8301543,1
8,0.7619691,1
8,0.73607326,1
8,0.7282179,1
8,0.722628,1
8,0.70161074,1
8,0.682956,1
8,0.6631908,1
8,0.6422873,1
8,0.6248696,1
8,0.61551917,1
8,0.617507,1
8,0.61283976,1
8,0.64542943,1
8,0.6299863,1
8,0.63463295,1
8,0.63905215,1
8,0.62819344,1
8,0.61966026,1
8,0.63155556,1
8,0.6439409,1
8,0.6528882,1
8,0.64921033,1
8,0.6475575,1
8,0.6269024,1
8,0.63564694,1
8,0.7003499,1
8,0.7505027,1
8,0.7552914,1
8,0.758077,1
8,0.75795925,1
8,0.75856566,1
8,0.75446475,1
8,0.739731,1
8,0.72458386,1
8,0.6556636,1
8,0.5825815,1
8,0.5832698,1
8,0.57371837,1
8,0.5089881,1
8,0.49835676,1
8,0.48288706,1
8,0.47106972,1
8,0.47817695,1
8,0.50008804,1
8,0.5239843,1
8,0.5300987,1
8,0.5565716,1
8,0.5762414,1
8,0.57958096,1
8,0.5498524,1
8,0.5204319,1
8,0.5040608,1
8,0.50633115,1
8,0.5014855,1
8,0.4978854,1
8,0.5016675,1
8,0.5111213,1
8,0.5084875,1
8,0.50986624,1
8,0.5092779,1
8,0.5167068,1
8,0.52288204,1
8,0.51792717,1
8,0.5221931,1
8,0.5281937,1
8,0.4939388,1
8,0.46896327,1
8,0.49598595,1
8,0.51391214,1
8,0.5224727,1
8,0.5244602,1
8,0.536507,1
8,0.5664378,1
8,0.58281344,1
8,0.58905804,1
8,0.5941536,1
8,0.5898873,1
8,0.5871886,1
8,0.58226657,1
8,0.58923507,1
8,0.5794602,1
8,0.59271735,1
8,0.5930539,1
8,0.57457536,1
8,0.57800925,1
8,0.57409006,1
8,0.573477,1
8,0.592598,1
8,0.6802844,1
8,0.65941143,1
8,0.6579416,1
8,0.71565545,1
8,0.73866653,1
8,0.7225623,1
8,0.7308203,1
8,0.7204763,1
8,0.65619755,1
8,0.5868045,1
8,0.57857037,1
8,0.5839089,1
8,0.5849335,1
8,0.58525604,1
8,0.55940276,1
8,0.56405663,1
8,0.63504666,1
8,0.7028307,1
8,0.71183634,1
8,0.7175598,1
8,0.7469201,1
8,0.749759,1
8,0.7546238,1
8,0.7581743,1
8,0.75675166,1
8,0.7452816,1
8,0.7393886,1
8,0.72386265,1
8,0.70869505,1
8,0.70668566,1
8,0.70379096,1
8,0.70629007,1
8,0.70830137,1
8,0.72313404,1
8,0.72563565,1
8,0.7356019,1
8,0.7416896,1
8,0.74402404,1
8,0.7391856,1
8,0.73569375,1
8,0.7343412,1
8,0.7342187,1
8,0.7606673,1
8,0.7862444,1
8,0.7833499,1
8,0.7867098,1
8,0.7889177,1
8,0.78488934,1
8,0.78554606,1
8,0.77737737,1
8,0.75483966,1
8,0.7459362,1
8,0.7370694,1
8,0.73643523,1
8,0.7157419,1
8,0.72533065,1
8,0.71192515,1
8,0.698094,1
8,0.6977502,1
8,0.6989447,1
8,0.70303774,1
8,0.70786697,1
8,0.70884866,1
8,0.71041894,1
8,0.7081442,1
8,0.69299495,1
8,0.6838781,1
8,0.68278784,1
8,0.67234725,1
8,0.66388893,1
8,0.65431976,1
8,0.55094457,1
8,0.5506879,1
8,0.5302999,1
8,0.4720576,1
8,0.44097894,1
8,0.44119722,1
8,0.431374,1
8,0.43350533,1
8,0.42953795,1
8,0.43098813,1
8,0.43031555,1
8,0.43126157,1
8,0.42538974,1
8,0.42651114,1
8,0.42874992,1
8,0.4218293,1
8,0.3418765,1
8,0.27138257,1
8,0.27705303,1
8,0.3138272,1
8,0.28430766,1
8,0.2797281,1
8,0.30283672,1
8,0.3082204,1
8,0.30664057,1
8,0.30281454,1
8,0.29692036,1
8,0.30071568,1
8,0.2930376,1
8,0.26631424,1
8,0.27056774,1
8,0.26719907,1
8,0.27800328,1
8,0.26860693,1
8,0.27012748,1
8,0.2631187,1
8,0.26579487,1
8,0.26985127,1
8,0.27830094,1
8,0.27785754,1
8,0.2793138,1
8,0.28722852,1
