day,proba,labels
15,0.815567,0
15,0.7714494,0
15,0.7666972,0
15,0.80051315,0
15,0.79672897,0
15,0.7832713,0
15,0.7187612,0
15,0.7096039,0
15,0.71370757,0
15,0.7309176,0
15,0.72662187,0
15,0.7081543,0
15,0.7154142,0
15,0.73913443,0
15,0.75861585,0
15,0.7959034,0
15,0.8141568,0
15,0.81675,0
15,0.8341978,0
15,0.83122635,0
15,0.85939705,0
15,0.8543956,0
15,0.84059817,0
15,0.8375606,0
15,0.82554334,0
15,0.81998396,0
15,0.8190528,0
15,0.8272693,0
15,0.82786524,0
15,0.82918185,0
15,0.8195499,0
15,0.82614034,0
15,0.80658424,0
15,0.80607015,0
15,0.7912796,0
15,0.8207406,0
15,0.8388947,0
15,0.83712244,0
15,0.82104576,0
15,0.80445135,0
15,0.7998276,0
15,0.806496,0
15,0.79194117,0
15,0.7623372,0
15,0.7575495,0
15,0.7470494,0
15,0.76133,0
15,0.75792134,0
15,0.75701976,0
15,0.769301,0
15,0.7948286,0
15,0.8079474,0
15,0.82603204,0
15,0.8163338,0
15,0.773456,0
15,0.7545866,0
15,0.7324768,0
15,0.71435267,0
15,0.69948286,0
15,0.73083305,0
15,0.7318104,0
15,0.6431062,0
15,0.46248156,0
15,0.6311303,0
15,0.60586405,0
15,0.6186554,0
15,0.7019011,0
15,0.6917585,0
15,0.6694388,0
15,0.694018,0
15,0.7349479,0
15,0.8724754,0
15,0.8934481,0
15,0.8857454,0
15,0.8607905,0
15,0.858919,0
15,0.8816546,0
15,0.9027382,0
15,0.90155435,0
15,0.92794466,0
15,0.928587,0
15,0.92035216,0
15,0.92077553,0
15,0.9308475,0
15,0.9278654,0
15,0.9305199,0
15,0.9183598,0
15,0.9119822,0
15,0.9109367,0
15,0.9078815,0
15,0.8944386,0
15,0.87614787,0
15,0.8889592,0
15,0.8958565,0
15,0.88690466,0
15,0.88515425,0
15,0.873669,0
15,0.86857796,0
15,0.86039543,0
15,0.84936816,0
15,0.85711527,0
15,0.8514951,0
15,0.85668206,0
15,0.873221,0
15,0.8813125,0
15,0.8755523,0
15,0.87916803,0
15,0.87695765,0
15,0.85199356,0
15,0.86956424,0
15,0.88642347,0
15,0.89196944,0
15,0.88769644,0
15,0.88366985,0
15,0.9006225,0
15,0.8958051,0
15,0.88794094,0
15,0.87894326,0
15,0.8779087,0
15,0.872632,0
15,0.89283353,0
15,0.8915905,0
15,0.8887011,0
15,0.8824722,0
15,0.87437356,0
15,0.8837451,0
15,0.8803638,0
15,0.8758247,0
15,0.8688227,0
15,0.8708168,0
15,0.885846,0
15,0.8888432,0
15,0.89788663,0
15,0.9258052,0
15,0.90777504,0
15,0.9147968,1
15,0.9152061,1
15,0.88897383,1
15,0.9054651,1
15,0.9189356,1
15,0.9156245,1
15,0.91750413,1
15,0.87948936,1
15,0.88804066,1
15,0.90242773,1
15,0.9077058,1
15,0.9161681,1
15,0.915573,1
15,0.9244222,1
15,0.92185247,1
15,0.91227067,1
15,0.9123581,1
15,0.9252169,1
15,0.9231249,1
15,0.9066107,1
15,0.89705694,1
15,0.8904267,1
15,0.8900405,1
15,0.8874384,1
15,0.8778342,1
15,0.87921965,1
15,0.88496304,1
15,0.89579356,1
15,0.903388,1
15,0.90738684,1
15,0.91207075,1
15,0.91158044,1
15,0.91531336,1
15,0.9263553,1
15,0.9275296,1
15,0.92966735,1
15,0.92494076,1
15,0.92183065,1
15,0.9158473,1
15,0.9080821,1
15,0.89711285,1
15,0.8843614,1
15,0.89399385,1
15,0.9041044,1
15,0.9089772,1
15,0.90494776,1
15,0.8944849,1
15,0.8941477,1
15,0.8930607,1
15,0.9003607,1
15,0.9029547,1
15,0.90417093,1
15,0.90493846,1
15,0.90665156,1
15,0.91893256,1
15,0.9191613,1
15,0.9119568,1
15,0.91274893,1
15,0.9137783,1
15,0.91504496,1
15,0.91617405,1
15,0.91484976,1
15,0.9146069,1
15,0.9156815,1
15,0.91653883,1
15,0.9156942,1
15,0.90921915,1
15,0.91004634,1
15,0.91204846,1
15,0.91514564,1
15,0.9236168,1
15,0.9191734,1
15,0.91390806,1
15,0.9128877,1
15,0.91264546,1
15,0.9070015,1
15,0.9094765,1
15,0.90297526,1
15,0.8979546,1
15,0.8913353,1
15,0.8779969,1
15,0.87069505,1
15,0.84934425,1
15,0.82880294,1
15,0.80334496,1
15,0.7865238,1
15,0.79012036,1
15,0.80493987,1
15,0.76594347,1
15,0.77792597,1
15,0.8055963,1
15,0.8462738,1
15,0.85230404,1
15,0.8658211,1
15,0.86680496,1
15,0.8659332,1
15,0.86300397,1
15,0.8552648,1
15,0.83214235,1
15,0.80686176,1
15,0.76897705,1
15,0.76374197,1
15,0.75271285,1
15,0.72233546,1
15,0.65915334,1
15,0.6395996,1
15,0.6365689,1
15,0.64396167,1
15,0.6622387,1
15,0.67457587,1
15,0.6815802,1
15,0.7188005,1
15,0.7378567,1
15,0.69302356,1
15,0.667452,1
15,0.6526996,1
15,0.64389443,1
15,0.6222021,1
15,0.60032153,1
15,0.6045766,1
15,0.5652508,1
15,0.5155704,0
15,0.5129209,0
15,0.50659084,0
15,0.49824646,0
15,0.44497603,0
15,0.44107664,0
15,0.4399613,0
15,0.4342772,0
15,0.4326735,0
15,0.42871103,0
15,0.42204103,0
15,0.42261177,0
15,0.41558585,0
15,0.40947443,0
15,0.41002917,0
15,0.41523334,0
15,0.4219841,0
15,0.4159325,0
15,0.40419418,0
15,0.37360194,0
15,0.30603704,0
15,0.29632604,0
15,0.30201358,0
15,0.2865894,0
15,0.2805065,0
15,0.27367568,0
15,0.25177455,0
15,0.25030762,0
15,0.24069884,0
15,0.24154136,0
15,0.24071133,0
15,0.24286029,0
15,0.24661663,0
