day,proba,labels
11,0.47243923,0
11,0.48712468,0
11,0.50841075,0
11,0.5097304,0
11,0.5236346,0
11,0.51788443,0
11,0.5658073,0
11,0.58871454,0
11,0.5972446,0
11,0.60661256,0
11,0.6106462,0
11,0.6122784,0
11,0.62547016,0
11,0.670459,0
11,0.6746871,0
11,0.6781934,0
11,0.67383415,0
11,0.67913705,0
11,0.6572595,0
11,0.6440508,0
11,0.64793986,0
11,0.64968735,0
11,0.653425,0
11,0.64701515,0
11,0.64055973,0
11,0.6471365,0
11,0.6459695,0
11,0.63887787,0
11,0.64490616,0
11,0.6378784,0
11,0.64505875,0
11,0.6377296,0
11,0.63397455,0
11,0.5603912,0
11,0.5596634,0
11,0.55157167,1
11,0.6032966,1
11,0.5398651,1
11,0.5887309,1
11,0.5578746,1
11,0.5648103,1
11,0.5664096,1
11,0.56407565,1
11,0.5308592,1
11,0.5372014,1
11,0.4893535,1
11,0.49079907,1
11,0.4853423,1
11,0.4816892,1
11,0.48764893,1
11,0.47043973,1
11,0.44259503,1
11,0.44647142,1
11,0.44577307,1
11,0.3583799,1
11,0.3576582,1
11,0.3583734,1
11,0.36340907,1
11,0.35882735,1
11,0.35684407,1
11,0.36464536,1
11,0.36418405,1
11,0.3660807,1
11,0.36351478,1
11,0.37374255,1
11,0.36551768,1
11,0.3561905,1
11,0.34964293,1
11,0.35400218,1
11,0.3365664,1
11,0.33831897,1
11,0.33744082,1
11,0.32370722,1
11,0.3069726,1
11,0.321008,1
11,0.29450184,1
11,0.29401153,1
11,0.24023527,1
11,0.2374874,1
11,0.2438016,1
11,0.23780468,1
11,0.23510328,1
11,0.23260307,1
11,0.22292417,1
11,0.1915361,1
11,0.18997097,1
11,0.18258813,1
11,0.18384689,1
11,0.18980521,1
11,0.20460984,1
11,0.22705403,1
11,0.23998743,1
11,0.23899093,1
11,0.23737255,1
11,0.23892736,1
11,0.23996183,1
11,0.24194145,1
11,0.2476365,1
11,0.25070113,1
11,0.2623222,1
11,0.26025057,1
11,0.25517565,1
11,0.25611976,1
11,0.29532158,1
11,0.29827458,1
11,0.29392058,1
11,0.2959467,1
11,0.25967765,1
11,0.2595431,1
11,0.20340005,1
11,0.20103434,1
11,0.19593614,1
11,0.19532567,1
11,0.19458595,1
11,0.19667816,1
11,0.19740906,1
11,0.1978288,1
11,0.19670221,1
11,0.20025265,1
11,0.1991046,1
11,0.19890359,1
11,0.19614527,1
11,0.18666494,1
11,0.18967739,1
11,0.19171855,1
11,0.19440815,1
11,0.20936233,1
11,0.21257594,1
11,0.21242532,1
11,0.209324,1
11,0.20830303,1
11,0.21531957,1
11,0.21050331,1
11,0.20403677,1
11,0.2150434,1
11,0.21065563,1
11,0.2084096,1
11,0.21553347,1
11,0.21523425,1
11,0.21391585,1
11,0.21415451,1
11,0.2114118,1
11,0.21476337,1
11,0.21882787,1
11,0.20132998,1
11,0.20058092,1
11,0.2018592,1
11,0.20048311,1
11,0.20016578,1
11,0.19869247,1
11,0.17946705,1
11,0.18016401,1
11,0.17718929,1
11,0.1778259,1
11,0.18055046,1
11,0.17728692,1
11,0.17713678,1
11,0.17571819,1
11,0.17703399,1
11,0.17357561,1
11,0.14498597,1
11,0.14150688,1
11,0.13633123,1
11,0.13422814,1
11,0.13401648,1
11,0.13324633,1
11,0.13495627,1
11,0.13423645,1
11,0.12675387,0
11,0.12644714,0
11,0.124367535,0
11,0.12424117,0
11,0.12425339,0
11,0.12488839,0
11,0.11057371,0
11,0.110167086,0
11,0.10931373,0
11,0.1090543,0
11,0.10891947,0
11,0.11145109,0
11,0.1110858,0
11,0.110608965,0
11,0.11114302,0
11,0.11095843,0
11,0.10946661,0
11,0.1093159,0
11,0.112262875,0
11,0.11764881,0
11,0.11724964,0
11,0.11485991,0
11,0.11935449,0
11,0.119181305,0
11,0.118712515,0
11,0.11719382,0
11,0.11543578,0
11,0.11559251,0
11,0.112475395,0
11,0.102871984,0
11,0.10224798,0
11,0.10241228,0
11,0.10133067,0
11,0.10122636,0
11,0.09728196,0
11,0.09697169,0
11,0.09684211,0
11,0.100890696,0
11,0.10071272,0
11,0.09974593,0
11,0.09455857,0
11,0.094320595,0
11,0.09381005,0
11,0.09727493,0
11,0.09582889,0
11,0.096564144,0
11,0.09507838,0
11,0.09833175,0
11,0.09840664,0
11,0.094816,0
11,0.09900653,0
11,0.10005158,0
11,0.10289496,0
11,0.103838,0
11,0.103893906,0
11,0.10686371,0
11,0.10931176,0
11,0.11736357,0
11,0.116778016,0
11,0.11827955,0
11,0.11741015,0
11,0.11811367,0
11,0.122880846,0
11,0.13919741,0
11,0.13672066,0
11,0.1809299,0
11,0.18616629,0
11,0.19282001,0
11,0.19381487,0
11,0.19221309,0
11,0.19621223,0
11,0.19710386,0
11,0.1969308,0
11,0.19409445,0
11,0.19285521,0
11,0.19350153,0
11,0.192662,0
11,0.1920495,0
11,0.19892234,0
11,0.19862935,0
11,0.19999796,0
11,0.1996327,0
11,0.19531602,0
11,0.1983825,0
11,0.1959348,0
11,0.20529494,0
11,0.20667982,0
11,0.20659932,0
11,0.20627719,0
11,0.20219982,0
11,0.19796231,0
11,0.20174044,0
11,0.20270595,0
11,0.19654942,0
11,0.20019594,0
11,0.20247024,0
11,0.20207447,0
11,0.20195284,0
11,0.19978306,0
11,0.20640159,0
11,0.204784,0
11,0.20491827,0
11,0.2070365,0
11,0.20650014,0
11,0.20610517,0
11,0.20575273,0
11,0.20585224,0
11,0.20826766,0
11,0.19181213,0
11,0.19127956,0
11,0.19372493,0
11,0.19763893,0
11,0.19687709,0
11,0.19717279,0
11,0.19099128,0
11,0.19405061,0
11,0.1923024,0
11,0.1913133,0
11,0.18964273,0
11,0.19246843,0
11,0.19161001,0
11,0.18356678,0
11,0.18281615,0
11,0.18441945,0
11,0.1820639,0
11,0.1798315,0
11,0.1827009,0
11,0.17815146,0
11,0.1657005,0
11,0.16421786,0
11,0.16464034,0
11,0.17631441,0
11,0.17425886,0
11,0.16595641,0
11,0.14900327,0
11,0.14807037,0
11,0.10755557,0
11,0.105954945,0
11,0.10406256,0
11,0.10354552,0
11,0.10302091,0
11,0.10020512,0
11,0.10062805,0
11,0.10076776,0
11,0.10422242,0
11,0.1050995,0
11,0.10560557,0
11,0.105849534,0
11,0.10314825,0
11,0.099627495,0
11,0.101226,0
11,0.100901484,0
11,0.1000894,0
11,0.099478304,0
11,0.10060918,0
11,0.102243274,0
11,0.100403816,0
11,0.09923044,0
11,0.10077894,0
11,0.10123232,0
11,0.099217,0
11,0.09773648,0
11,0.097447574,0
11,0.10091147,0
11,0.10031822,0
11,0.0997608,0
11,0.099207014,0
11,0.10373905,0
11,0.10580593,0
11,0.10575649,0
11,0.10406324,0
11,0.10377088,0
11,0.103082925,0
11,0.10227856,0
11,0.10346934,0
11,0.104228765,0
11,0.10295087,0
11,0.104474515,0
11,0.10550183,0
11,0.11021322,0
11,0.10949525,0
11,0.10918608,0
11,0.10700509,0
11,0.108371675,0
11,0.11688265,0
11,0.14349526,0
11,0.14368016,0
11,0.1452167,0
11,0.14219475,0
11,0.14007506,0
11,0.14781752,0
11,0.15197843,0
11,0.15032509,0
11,0.15188804,0
11,0.15150869,0
11,0.15235433,0
11,0.15687504,0
11,0.15311185,0
11,0.15350619,0
11,0.18183589,0
11,0.17997468,0
11,0.1985577,0
11,0.22400716,0
11,0.22253764,0
11,0.2216532,0
11,0.23331028,0
11,0.25349432,0
11,0.26320007,0
11,0.26732558,0
11,0.2745626,0
11,0.27790636,0
11,0.27485,0
11,0.29229712,0
11,0.3184978,0
11,0.3207868,0
11,0.31275168,0
11,0.30673873,0
11,0.30627918,0
11,0.3087182,0
11,0.30676612,0
11,0.3038729,0
11,0.30565634,0
11,0.31929985,0
11,0.342301,0
11,0.34221646,0
11,0.3407274,0
11,0.34326792,0
11,0.33200288,0
11,0.3279935,0
11,0.3455463,0
11,0.3707109,0
11,0.37402612,0
11,0.3713457,0
11,0.38192636,0
11,0.37603667,0
11,0.370904,0
11,0.36527884,0
11,0.36968845,0
11,0.381182,0
11,0.3723042,0
11,0.3704465,0
11,0.37797153,0
11,0.38017237,0
11,0.38226825,0
11,0.37681103,0
11,0.3770872,0
11,0.37870985,0
11,0.376662,0
11,0.3749776,0
11,0.37420183,0
11,0.36694068,0
11,0.37795222,0
11,0.37561393,0
11,0.3949036,0
11,0.40757042,0
11,0.42007163,0
11,0.38875723,0
11,0.3900475,0
11,0.3908419,0
11,0.38964474,0
11,0.38558087,0
11,0.37410176,0
11,0.37497234,0
11,0.37547287,0
11,0.3737651,0
11,0.37569043,0
11,0.37739128,0
11,0.37615937,0
11,0.37286794,0
11,0.37879512,0
11,0.34524062,0
11,0.33333242,0
11,0.3016591,0
11,0.2781483,0
11,0.27693415,0
11,0.27958447,0
11,0.27002114,0
11,0.25251216,0
11,0.24708867,0
11,0.24015364,0
11,0.24033126,0
11,0.24206686,0
11,0.24304357,0
11,0.22985047,0
11,0.20860362,0
11,0.2136637,0
11,0.2137089,0
11,0.20901236,0
11,0.21303156,0
11,0.21423131,0
11,0.2087655,0
11,0.20844278,0
11,0.20624939,0
11,0.20236054,0
11,0.1863788,0
11,0.18123385,0
11,0.1846815,0
11,0.18468052,0
11,0.18364292,0
11,0.18324149,0
11,0.17480761,0
11,0.16121715,0
11,0.16975364,0
11,0.16869834,0
11,0.16722447,0
11,0.1688059,0
11,0.17652702,0
11,0.17649862,0
11,0.16832647,0
11,0.16908136,0
11,0.17529246,0
11,0.17073303,0
11,0.1686885,0
11,0.17058307,0
11,0.16915429,0
11,0.16766775,0
11,0.16889474,0
11,0.17295092,0
11,0.17343849,0
11,0.1666536,0
11,0.1716989,0
11,0.18028831,0
11,0.17180365,0
11,0.16676867,0
11,0.15308347,0
11,0.15277609,0
11,0.12737453,0
11,0.12205148,0
11,0.13138622,0
11,0.14922744,0
11,0.15300953,0
11,0.15260297,0
11,0.15265077,0
11,0.14926678,0
11,0.15295729,0
11,0.15076354,0
11,0.15210801,0
11,0.15188256,0
11,0.15456522,0
11,0.15654969,0
11,0.16344821,0
11,0.15931606,0
11,0.1590856,0
11,0.15833199,0
11,0.15996265,0
11,0.16210425,0
11,0.15183258,0
11,0.15101075,0
11,0.15182462,0
11,0.1575953,0
11,0.15699917,0
11,0.16018617,0
11,0.16325468,0
11,0.16506347,0
11,0.16124496,0
11,0.16005215,0
11,0.1600951,0
11,0.16100025,0
11,0.1597687,0
11,0.15882134,0
11,0.16223109,0
11,0.16925654,0
11,0.17227644,0
11,0.17614013,0
11,0.19119272,0
11,0.19617406,0
11,0.19904009,0
11,0.21270749,0
11,0.23276877,0
11,0.25497922,0
11,0.25286388,0
11,0.25157785,0
11,0.2736264,0
11,0.26368725,0
11,0.25560206,0
11,0.25475758,0
11,0.23972976,0
11,0.24185804,0
11,0.24636751,0
11,0.24641418,0
11,0.2518724,0
11,0.24248108,0
11,0.24248359,0
11,0.24367607,0
11,0.24243093,0
11,0.2453171,0
11,0.24513093,0
11,0.24968067,0
11,0.2610187,0
11,0.2656135,0
11,0.27759174,0
11,0.28259355,0
11,0.2812358,0
11,0.28241593,0
11,0.28219134,0
11,0.28226006,0
11,0.285326,0
11,0.28567797,0
11,0.28555778,0
11,0.26193038,0
11,0.30374843,0
11,0.29527575,0
11,0.2938547,0
11,0.29298982,0
11,0.29714125,0
11,0.2907763,0
11,0.29161116,0
11,0.29430962,0
11,0.28324115,0
11,0.28272617,0
11,0.27597126,0
11,0.27637118,0
11,0.27277172,0
11,0.26903325,0
11,0.27023143,0
11,0.27535772,0
11,0.2838,0
11,0.28502992,0
11,0.2828241,0
11,0.28582102,0
11,0.27903104,0
11,0.27599195,0
11,0.2651651,0
11,0.26515839,0
11,0.26720208,0
11,0.27931386,0
11,0.27972895,0
11,0.2822333,0
11,0.28419542,0
11,0.28213865,0
11,0.2840851,0
11,0.28659576,0
11,0.28053844,0
11,0.27684987,0
11,0.26371723,0
11,0.24576196,0
11,0.24698588,0
11,0.24174339,0
11,0.22419626,0
11,0.20158997,0
11,0.1908642,0
11,0.1917583,0
11,0.18894967,0
11,0.17336091,0
11,0.17541432,0
11,0.1789414,0
11,0.18597066,0
11,0.18597135,0
11,0.18676382,0
11,0.18344319,0
11,0.18663481,0
11,0.18606675,0
11,0.18574587,0
11,0.18723822,0
11,0.18610305,0
11,0.19388205,0
11,0.19368872,0
11,0.19300407,0
11,0.1872564,0
11,0.21282852,0
11,0.21040115,0
11,0.20142683,0
11,0.19303858,0
11,0.189161,0
11,0.1892423,0
11,0.18822479,0
11,0.18750376,0
11,0.18783027,0
11,0.19210067,0
11,0.24292403,0
11,0.24123746,0
11,0.19025677,0
11,0.18885046,0
11,0.19174227,0
11,0.19485897,0
11,0.19435552,0
11,0.1899615,0
11,0.19266152,0
11,0.19325772,0
11,0.19777721,0
11,0.19338313,0
11,0.19106081,0
11,0.19021812,0
11,0.19419488,0
11,0.19892547,0
11,0.24772453,0
11,0.2393446,0
11,0.23215175,0
11,0.23254824,0
11,0.2344673,0
11,0.23070395,0
11,0.2334139,0
11,0.22983769,0
11,0.23682714,0
11,0.23521808,0
11,0.22345114,0
11,0.22271854,0
11,0.22746167,0
11,0.22560474,0
11,0.2263203,0
11,0.22210154,0
11,0.22601467,0
11,0.21499619,0
11,0.2404834,0
11,0.23362434,0
11,0.23753202,0
11,0.2361469,0
11,0.24489021,0
11,0.24296996,0
11,0.2459546,0
11,0.24898264,0
11,0.25173372,0
11,0.24904898,0
11,0.24817175,0
11,0.24786234,0
11,0.2497054,0
11,0.25634843,0
11,0.2565226,0
11,0.2516913,0
11,0.26028004,0
11,0.25783232,0
11,0.25815982,0
11,0.25689352,0
11,0.2664151,0
11,0.26218382,0
11,0.25837004,0
11,0.25384456,0
11,0.25648588,0
11,0.2537009,0
11,0.25026813,0
11,0.21229541,0
11,0.21504256,0
11,0.21067467,0
11,0.21249509,0
11,0.21197954,0
11,0.21766269,0
11,0.21728861,0
11,0.22165269,0
11,0.23540193,0
11,0.22929636,0
11,0.18139076,0
11,0.18130133,0
11,0.18088934,0
11,0.18353689,0
11,0.18307915,0
11,0.17865252,0
11,0.183833,0
11,0.19741613,0
11,0.20870492,0
11,0.20095462,0
11,0.19670027,0
11,0.24125353,0
11,0.24328119,0
11,0.2401754,0
