dataset,win(sec),WAcc: GroupModel,WAcc2: GroupModel,WAcc: Individual-Model,WAcc2: Individual-Model,F1: GroupModel,F1: Individual-Model,Precision: GroupModel,Precision: Individual-Model,Recall: GroupModel,Recall: Individual-Model,Acc: GroupModel,Acc: Individual-Model
wenkanw,360,0.779,0.762,0.9,0.893,0.423,0.639,0.319,0.52,0.649,0.853,0.893,0.9420000000000001
adam,360,0.956,0.9470000000000001,0.9590000000000001,0.961,0.433,0.625,0.284,0.484,0.983,0.9490000000000001,0.9309999999999999,0.968
lawler,360,0.605,0.616,0.721,0.7290000000000001,0.132,0.258,0.076,0.166,0.494,0.578,0.7070000000000001,0.851
shaurya,360,0.759,0.7340000000000001,0.7659999999999999,0.7440000000000001,0.409,0.402,0.308,0.295,0.624,0.654,0.8740000000000001,0.862
tianyi,360,0.833,0.828,0.843,0.84,0.456,0.474,0.341,0.359,0.736,0.76,0.92,0.918
james,360,0.787,0.787,0.799,0.795,0.303,0.311,0.194,0.206,0.73,0.77,0.838,0.825
average performance,-,0.786,0.779,0.831,0.827,0.359,0.451,0.254,0.338,0.703,0.761,0.86,0.894
